"Not confirmed","Niet voorgemeld"
https://www.postnl.nl/zakelijke-oplossingen/webwinkels/bezorgopties-voor-mijn-klanten/,https://www.postnl.nl/zakelijke-oplossingen/webwinkels/bezorgopties-voor-mijn-klanten/
www.postnl.com,www.postnl.com
"Extension support and advanced configuration","Extensie ondersteuning en vragen over de configuratie"
"For questions about installing and configuring the extension please consult the relevant documentation:","Heeft u vragen over de installatie of configuratie van de extensie? Raadpleeg altijd eerst de relevante documentatie:"
"Frequently asked questions:","Veelgestelde vragen:"
FAQ,FAQ
"Support by email:","Support per email:"
Documentation,Documentatie
"Documents regarding the PostNL Magento 2 extension:","Documentatie over de PostNL Magento 2 extensie:"
"View the user manual. Currently the manual is only available in Dutch.","Download de handleiding in PDF formaat. Momenteel is deze handleiding alleen in het Nederlands beschikbaar."
"User manual","Gebruikershandleiding"
"View the complete release notes of the extension. Currently the release notes is only available in Dutch.","Bekijk de release notes van de extensie. Deze zijn alleen in het Nederlands beschikbaar."
"Full Release Notes","Volledige Release Notes"
PostNL,PostNL
Enabled,Ingeschakeld
"Method Name","Methode Naam"
"Calculate Handling Fee","Tarief type"
"Handling Fee","Toeslag"
"Sort Order","Sorteer Volgorde"
Title,Titel
"Ship to Applicable Countries","Verzend naar beschikbare landen"
"Ship to Specific Countries","Verzend naar specifieke landen"
"Show Method if Not Applicable","Toon de verzendmethode wanneer dit niet van toepassing is"
"Displayed Error Message","Getoonde error melding"
"General configuration and account information","Algemene configuratie en account informatie"
"Extension status","Extensie status"
Modus,Modus
"Customernumber live mode","Klantnummer live modus"
"Customercode live mode","Klantcode live modus"
"Api Key live mode","Api Key live modus"
"Api Key test mode","Api Key test modus"
"BLS location code live mode","BLS locatie code live modus"
"Customernumber test mode","Klantnummer test modus"
"Customercode test mode","Klantcode test modus"
"BLS location code test mode","BLS locatie code test modus"
Shippingaddress,Verzendadres
Firstname,Voornaam
Lastname,Achternaam
Company,Bedrijf
Streetname,Straatnaam
Department,Afdelding
Housenumber,Huisnummer
"Housenumber addition","Huisnummer toevoeging"
Postcode,Postcode
City,Plaats
Productoptions,Productopties
"Select the available options","Selecteer de beschikbare opties"
"Default shipping option","Standaard verzend optie"
"Default evening option","Standaard avondverzending optie"
"Default postoffice delivery option","Standaard Pakjegemak optie"
"Default sundaydelivery option","Standaard zondagbezorging optie"
Shippingoptions,Verzendopties
"Activate shippingoptions","Activeer verzendopties"
Stockoptions,Voorraadopties
"Activate deliverydays","Activeer bezorgdagen"
"Maximum number of deliverydays","Maximaal aantal bezorgdagen"
"Activate postofficelocations","Activeer Pakjegemak"
"Activate eveningdelivery","Activeer avondbezorging"
"Eveningdelivery fee","Avondbezorging toeslag"
"Activate sundaydelivery","Activeer zondagbezorging"
"Sundaydelivery fee","Zondagbezoging toeslag"
"Send track and trace info","Verstuur track and trace info"
"Version & Support","Versie & Support"
Webshop,Webshop
"Printer Settings","Printer instellingen"
"Label size","Label formaat"
"Shipping Settings","Verzend instellingen"
"Cutoff time","Cut-off tijd"
"Shipment days","Verzenddagen"
"PostNL - Create shipments","PostNL - Maak zendingen aan"
"PostNL - Print shipping labels & confirm shipment","PostNL - Print verzendlabels & zending voormelden"
"Confirm Status","Voormeld status"
"Shipping Date","Verzenddatum"
"Standard shipment","Standaard verzending"
"Signature on delivery","Handtekening bij ontvangst"
"Signature on delivery + Delivery to stated address only","Handtekening bij ontvangst + Lever alleen aan opgegeven adres"
"Signature on delivery + Return when not home","Handtekening bij ontvangst + Retour indien niet thuis"
"Signature on delivery + Deliver to stated address only + Return when not home","Handtekening bij ontvangst + Lever alleen aan opgegeven adres + Retour indien niet thuis"
"Delivery to neighbour + Return when not home","Lever bij buren + Retour indien niet thuis"
"Deliver to stated address only","Lever alleen aan opgegeven adres"
"Post Office + Extra Cover","Postkantoor + verhoogd aansprakelijk"
"Post Office + Extra Cover + Notification","Postkantoor + verhoogd aansprakelijk + notificatie"
"Post Office + Signature on Delivery","Postkantoor + handtekening bij ontvangst"
"Post Office + Signature on Delivery + Notification","Postkantoor + handtekening bij ontvangst + notificatie"
"EU Pack Special (B2B)","EU Pack Special (B2B)"
"EU Pack Special Consumer (incl. signature)","EU Pack Speciaal klant (inclusief handtekening)"
"Letter Box Parcel Extra","Brievenbuspakje Extra"
Pickup,Ophalen
Delivery,Bezorgen
Daytime,Overdag
Evening,Avond
Monday,Maandag
Tuesday,Dinsdag
Wednesday,Woensdag
Thursday,Donderdag
Friday,Vrijdag
Saturday,Zaterdag
Sunday,Zondag
Extension version,Extensie versie
"For an A4 example, <a href=""%1"" target=""_blank"">click here</a>.","Voor een A4 voorbeeld, <a href=""%1"" target=""_blank"">klik hier</a>."
"For an A6 example, <a href=""%1"" target=""_blank"">click here</a>.","Voor een A6 voorbeeld, <a href=""%1"" target=""_blank"">klik hier</a>."
"PostNL Shipping options","PostNL Verzendopties"
"Colli amount","Aantal pakketten"
"Activate early delivery postoffice locations","Activeer extra vroeg ophalen"
"Early delivery fee","Extra vroeg ophalen toeslag"
"Early Delivery from 9:00","Ophalen vanaf 9:00"
"Export CSV","Exporteer CSV"
"An error occurred while importing the table rates.","Een fout is opgetreden tijdens het importeren van de tabeltarieven."
"File has not been imported. See the following list of errors: %1","Bestand is niet geïmporteerd. Zie de lijst van foutmeldingen: %1"
"Invalid PostNL Table Rates File Format","Incorrect PostNL Tabeltarieven bestandsformaat"
"Invalid PostNL Table Rates File Format in Row #%1","Incorrect PostNL Tabeltarieven bestandsformaat in regel #%1"
"Row #%1 is a dupplicate of row #%2","Regel #%1 is een duplicaat van regel #%2"
"Invalid Shipping Price ""%1"" supplied in row #%2","Incorrecte verzendprijs ""%1"" op regel #%2"
"Rate Type","Rate Type"
Flat,Plat
Table,Tabel
Condition,Conditie
"Include Virtual Products in Price Calculation","Gebruik Virtuele Producten in de prijs calculatie"
"Weight vs. Destination","Gewicht vs. Bestemming"
"Price vs. Destination","Prijs vs. Bestemming"
"# of Items vs. Destination","Aantal items vs. Bestemming"
Fixed,Vast
Percent,Percentage
"You can import and export rates on the website scope. You can change your current scope with the dropdown at the top left of this page.","U kunt tarieven importeren en exporteren op website niveau. U kunt het huidige niveau van de configuratie aanpassen met het selectieveld links bovenaan deze pagina."
"Export Rates","Export Rates"
"Import Rates","Import Rates"
"Post Office Location:","Postkantoor Adres:"
